銘柄コード,銘柄名,市場名,日経225採用銘柄
1946,(株)トーエネック,東証1部,
1948,(株)弘電社,東証2部,
1949,住友電設(株),東証1部,
1950,日本電設工業(株),東証1部,
1951,(株)協和エクシオ,東証1部,
1952,新日本空調(株),東証1部,
1954,日本工営(株),東証1部,
1956,ＮＤＳ(株),東証1部,
1959,(株)九電工,東証1部,
1960,(株)サンテック,東証2部,
1961,三機工業(株),東証1部,
1963,日揮(株),東証1部,1
1964,中外炉工業(株),東証1部,
1965,(株)テクノ菱和,東証2部,
1966,(株)高田工業所,東証2部,
1967,(株)ヤマト,東証1部,
1968,太平電業(株),東証1部,
1969,高砂熱学工業(株),東証1部,
1971,中央ビルト工業(株),東証2部,
1972,三晃金属工業(株),東証1部,
1973,ＮＥＣネッツエスアイ(株),東証1部,
1975,(株)朝日工業社,東証1部,
1976,明星工業(株),東証1部,
1979,(株)大気社,東証1部,
1980,ダイダン(株),東証1部,
1981,(株)協和日成,東証JQS,
1982,日比谷総合設備(株),東証1部,
1983,東芝プラントシステム(株),東証1部,
1984,三信建設工業(株),東証JQS,
1987,(株)ソルコム,東証2部,
1989,北陸電話工事(株),東証2部,
1992,神田通信機(株),東証JQS,
1994,高橋カーテンウォール工業(株),東証JQS,
1997,暁飯島工業(株),東証JQS,
1999,サイタホールディングス(株),福証,
2001,日本製粉(株),東証1部,
2002,(株)日清製粉グループ本社,東証1部,1
2003,日東富士製粉(株),東証1部,
2004,昭和産業(株),東証1部,
2008,(株)増田製粉所,東証2部,
2009,鳥越製粉(株),東証1部,
2053,中部飼料(株),東証1部,
2055,日和産業(株),東証2部,
2058,(株)ヒガシマル,福証,
2060,フィード・ワン(株),東証1部,
2107,東洋精糖(株),東証1部,
2108,日本甜菜製糖(株),東証1部,
2109,三井製糖(株),東証1部,
2112,塩水港精糖(株),東証1部,
2114,フジ日本精糖(株),東証2部,
2117,日新製糖(株),東証1部,
2120,(株)ＬＩＦＵＬＬ,東証1部,
2121,(株)ミクシィ,マザーズ,
2122,(株)インタースペース,マザーズ,
2124,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,東証1部,
2127,(株)日本Ｍ＆Ａセンター,東証1部,
2130,(株)メンバーズ,東証1部,
2134,燦キャピタルマネージメント(株),東証JQS,
2136,(株)ヒップ,東証JQS,
2137,(株)光ハイツ・ヴェラス,札幌ア,
2138,クルーズ(株),東証JQS,
2139,(株)中広,東証1部,
2144,(株)やまねメディカル,東証JQG,
2145,データリンクス(株),東証JQS,
2146,ＵＴグループ(株),東証JQS,
2148,アイティメディア(株),マザーズ,
2150,(株)ケアネット,マザーズ,
2151,(株)タケエイ,東証1部,
2152,幼児活動研究会(株),東証JQS,
2153,Ｅ・Ｊホールディングス(株),東証2部,
2154,(株)トラスト・テック,東証1部,
2156,セーラー広告(株),東証JQS,
2157,(株)コシダカホールディングス,東証1部,
2158,(株)ＦＲＯＮＴＥＯ,マザーズ,
2159,(株)フルスピード,マザーズ,
2160,(株)ジーエヌアイグループ,マザーズ,
2162,ｎｍｓホールディングス(株),東証JQS,
2163,(株)アルトナー,東証JQS,
2164,(株)地域新聞社,東証JQG,
2168,(株)パソナグループ,東証1部,
2169,ＣＤＳ(株),東証1部,
2170,(株)リンクアンドモチベーション,東証1部,
2172,(株)インサイト,札幌ア,
2173,(株)博展,東証JQG,
2174,ＧＣＡ(株),東証1部,
2175,(株)エス・エム・エス,東証1部,
2176,(株)イナリサーチ,東証JQS,
2178,(株)トライステージ,マザーズ,
2179,(株)成学社,東証JQS,
2180,(株)サニーサイドアップ,東証JQG,
2181,パーソルホールディングス(株),東証1部,
2183,(株)リニカル,東証1部,
2185,(株)シイエム・シイ,東証JQS,
2186,ソーバル(株),東証JQS,
2191,テラ(株),東証JQS,
